CARRETERA,YEAR,n_total,n_bad_surface,RCII_pct,imd_road_mean,road_passages,RCII_rate_per100M,RCII_level
M-220,2017,4,0,0.0,,,,Low
M-220,2018,3,1,33.3333,2479.4,904981.0,110.49955744927242,High
M-220,2019,2,0,0.0,2614.0,954110.0,0.0,Low
M-220,2020,3,0,0.0,,,,Low
M-220,2021,3,0,0.0,2669.8,974477.0000000001,0.0,Low
M-220,2022,10,0,0.0,2715.0,990975.0,0.0,Low
M-220,2023,5,0,0.0,2869.4,1047331.0,0.0,Low
M-220,2024,6,0,0.0,2996.4,1093686.0,0.0,Low
M-221,2016,3,0,0.0,,,,Low
M-221,2017,6,0,0.0,,,,Low
M-221,2018,1,0,0.0,1122.0,409530.0,0.0,Low
M-221,2019,5,0,0.0,1455.0,531075.0,0.0,Low
M-221,2020,1,0,0.0,,,,Low
M-221,2021,4,2,50.0,1437.4,524651.0,381.2057920408043,High
