SECCION_ID,YEAR,n_accidents,n_fatal,n_serious,n_victims_30d,n_vehicles_inv,imd_mean,vehicle_passages,ACI,aci_mean,aci_std,threshold_TCA,IS_TCA,ACI_rank_year,CARRETERA
A-1_15,2016,8,0,0,11,18,,,,,,,0,1,A-1
A-1_15,2017,5,0,0,7,9,,,,,,,0,1,A-1
A-1_15,2018,9,0,1,14,25,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_15,2019,6,0,0,8,12,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_15,2020,2,0,0,4,4,,,,,,,0,1,A-1
A-1_15,2021,5,0,0,10,13,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_15,2022,6,0,0,6,9,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_15,2023,6,0,0,6,11,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_15,2024,2,0,0,3,4,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_16,2016,7,0,0,9,12,,,,,,,0,1,A-1
A-1_16,2017,10,0,0,19,26,,,,,,,0,1,A-1
A-1_16,2018,8,0,0,10,17,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_16,2019,13,0,0,17,26,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_16,2020,1,0,0,1,1,,,,,,,0,1,A-1
A-1_16,2021,6,0,0,6,12,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_16,2022,6,0,0,7,13,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_16,2023,4,0,0,5,9,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_16,2024,6,0,0,7,16,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_17,2016,15,0,0,21,32,,,,,,,0,1,A-1
A-1_17,2017,26,0,0,35,50,,,,,,,0,1,A-1
A-1_17,2018,18,0,0,21,36,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_17,2019,14,0,0,19,28,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_17,2020,7,0,0,10,11,,,,,,,0,1,A-1
A-1_17,2021,6,0,0,11,14,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_17,2022,14,0,0,21,27,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_17,2023,17,0,1,21,38,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_17,2024,7,0,0,11,17,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_18,2016,4,0,0,7,10,,,,,,,0,1,A-1
A-1_18,2017,7,0,0,15,17,,,,,,,0,1,A-1
A-1_18,2018,8,0,0,19,19,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_18,2019,5,0,0,9,12,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_18,2020,7,0,0,12,15,,,,,,,0,1,A-1
A-1_18,2021,9,0,0,15,20,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_18,2022,6,0,0,11,18,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_18,2023,3,0,0,5,7,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_18,2024,3,0,0,7,11,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_19,2016,10,0,0,14,23,,,,,,,0,1,A-1
A-1_19,2017,5,0,0,5,11,,,,,,,0,1,A-1
A-1_19,2018,5,0,2,9,13,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_19,2019,9,1,0,15,18,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_19,2020,3,0,0,3,4,,,,,,,0,1,A-1
A-1_19,2021,4,0,0,4,6,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_19,2022,3,0,0,7,5,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_19,2023,2,0,0,2,3,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_19,2024,1,0,0,1,1,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_20,2016,5,0,0,9,11,,,,,,,0,1,A-1
A-1_20,2017,4,1,1,5,7,,,,,,,0,1,A-1
A-1_20,2018,3,0,0,6,6,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_20,2019,5,0,0,6,16,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_20,2021,3,0,0,9,6,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_20,2022,1,0,0,1,2,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_20,2023,3,0,1,5,5,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_20,2024,2,1,0,15,3,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_21,2016,1,0,0,3,3,,,,,,,0,1,A-1
A-1_21,2017,3,0,1,6,6,,,,,,,0,1,A-1
A-1_21,2018,3,0,0,6,7,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_21,2019,2,0,0,2,2,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_21,2020,2,0,0,2,4,,,,,,,0,1,A-1
A-1_21,2021,2,0,0,5,5,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_21,2022,1,0,0,1,2,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_21,2024,2,0,0,2,4,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_22,2016,2,0,0,7,5,,,,,,,0,1,A-1
A-1_22,2017,4,0,0,12,8,,,,,,,0,1,A-1
A-1_22,2019,2,0,0,2,2,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_22,2021,4,0,0,8,8,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_22,2022,1,0,0,1,2,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_22,2023,1,0,0,1,2,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_23,2016,5,0,0,6,7,,,,,,,0,1,A-1
A-1_23,2017,1,0,0,1,2,,,,,,,0,1,A-1
A-1_23,2018,5,0,0,6,8,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_23,2019,2,0,0,3,4,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_23,2021,1,0,0,1,1,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_23,2023,2,0,0,2,3,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_24,2016,6,0,0,7,13,,,,,,,0,1,A-1
A-1_24,2017,8,0,0,8,16,,,,,,,0,1,A-1
A-1_24,2018,1,0,0,1,3,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_24,2019,1,0,0,1,2,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_24,2020,3,0,0,6,7,,,,,,,0,1,A-1
A-1_24,2021,3,1,0,7,5,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_25,2018,1,0,0,5,2,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_25,2019,4,0,0,8,8,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_25,2020,2,0,0,4,3,,,,,,,0,1,A-1
A-1_25,2021,3,0,0,4,5,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_25,2022,1,0,0,3,2,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_25,2023,1,0,0,1,2,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_25,2024,3,0,0,4,7,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_26,2016,2,0,0,2,5,,,,,,,0,1,A-1
A-1_26,2017,3,0,0,6,6,,,,,,,0,1,A-1
A-1_26,2018,4,0,0,4,6,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_26,2019,4,0,0,6,10,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_26,2021,4,0,0,9,8,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_26,2023,2,0,0,2,2,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_27,2016,4,0,2,11,10,,,,,,,0,1,A-1
A-1_27,2017,5,0,0,12,14,,,,,,,0,1,A-1
A-1_27,2018,5,0,0,9,9,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_27,2019,4,0,0,6,10,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_27,2020,4,0,0,8,7,,,,,,,0,1,A-1
A-1_27,2021,2,0,0,8,4,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_27,2022,1,0,0,1,2,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_27,2023,4,0,0,6,8,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_27,2024,3,0,0,12,8,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_28,2016,4,0,0,8,9,,,,,,,0,1,A-1
A-1_28,2017,5,0,0,6,7,,,,,,,0,1,A-1
A-1_28,2018,3,0,0,10,6,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_28,2019,8,0,0,12,15,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_28,2020,1,0,0,1,2,,,,,,,0,1,A-1
