SECCION_ID,CARRETERA,YEAR,n_accidents,n_fatal_30d,n_serious_30d,n_victims_30d,ASI_pct
A-1_21,A-1,2022,1,0,0,1,0.0
A-1_21,A-1,2024,2,0,0,2,0.0
A-1_22,A-1,2016,2,0,0,7,0.0
A-1_22,A-1,2017,4,0,0,12,0.0
A-1_22,A-1,2019,2,0,0,2,0.0
A-1_22,A-1,2021,4,0,0,8,0.0
A-1_22,A-1,2022,1,0,0,1,0.0
A-1_22,A-1,2023,1,0,0,1,0.0
A-1_23,A-1,2016,5,0,0,6,0.0
A-1_23,A-1,2017,1,0,0,1,0.0
A-1_23,A-1,2018,5,0,0,6,0.0
A-1_23,A-1,2019,2,0,0,3,0.0
A-1_23,A-1,2021,1,0,0,1,0.0
A-1_23,A-1,2023,2,0,0,2,0.0
A-1_24,A-1,2016,6,0,0,7,0.0
A-1_24,A-1,2017,8,0,0,8,0.0
A-1_24,A-1,2018,1,0,0,1,0.0
A-1_24,A-1,2019,1,0,0,1,0.0
A-1_24,A-1,2020,3,0,0,6,0.0
A-1_24,A-1,2021,3,1,0,7,14.2857
A-1_25,A-1,2018,1,0,0,5,0.0
A-1_25,A-1,2019,4,0,0,8,0.0
A-1_25,A-1,2020,2,0,0,4,0.0
A-1_25,A-1,2021,3,0,0,4,0.0
A-1_25,A-1,2022,1,0,0,3,0.0
A-1_25,A-1,2023,1,0,0,1,0.0
A-1_25,A-1,2024,3,0,0,4,0.0
A-1_26,A-1,2016,2,0,0,2,0.0
A-1_26,A-1,2017,3,0,0,6,0.0
A-1_26,A-1,2018,4,0,0,4,0.0
A-1_26,A-1,2019,4,0,0,6,0.0
A-1_26,A-1,2021,4,0,0,9,0.0
A-1_26,A-1,2023,2,0,0,2,0.0
A-1_27,A-1,2016,4,0,2,11,18.1818
A-1_27,A-1,2017,5,0,0,12,0.0
A-1_27,A-1,2018,5,0,0,9,0.0
A-1_27,A-1,2019,4,0,0,6,0.0
A-1_27,A-1,2020,4,0,0,8,0.0
A-1_27,A-1,2021,2,0,0,8,0.0
A-1_27,A-1,2022,1,0,0,1,0.0
A-1_27,A-1,2023,4,0,0,6,0.0
A-1_27,A-1,2024,3,0,0,12,0.0
A-1_28,A-1,2016,4,0,0,8,0.0
A-1_28,A-1,2017,5,0,0,6,0.0
A-1_28,A-1,2018,3,0,0,10,0.0
A-1_28,A-1,2019,8,0,0,12,0.0
A-1_28,A-1,2020,1,0,0,1,0.0
A-1_28,A-1,2021,5,0,0,13,0.0
A-1_28,A-1,2022,4,0,0,6,0.0
A-1_28,A-1,2023,4,0,0,6,0.0
A-1_28,A-1,2024,1,0,0,1,0.0
A-1_29,A-1,2016,3,0,0,3,0.0
A-1_29,A-1,2017,1,0,0,1,0.0
A-1_29,A-1,2018,2,0,0,2,0.0
A-1_29,A-1,2019,5,0,0,8,0.0
A-1_29,A-1,2020,1,0,0,4,0.0
A-1_29,A-1,2021,1,0,0,2,0.0
A-1_29,A-1,2022,1,0,1,3,33.3333
A-1_29,A-1,2023,3,0,0,10,0.0
A-1_29,A-1,2024,2,0,0,4,0.0
A-1_30,A-1,2016,2,0,0,3,0.0
A-1_30,A-1,2017,1,0,0,1,0.0
A-1_30,A-1,2018,2,0,0,2,0.0
A-1_30,A-1,2019,1,0,0,1,0.0
A-1_30,A-1,2020,1,0,0,1,0.0
A-1_30,A-1,2021,1,0,0,2,0.0
A-1_30,A-1,2022,1,0,0,3,0.0
A-1_30,A-1,2023,1,0,0,2,0.0
A-1_30,A-1,2024,1,0,0,3,0.0
A-1_31,A-1,2017,1,0,0,1,0.0
A-1_31,A-1,2019,1,0,0,2,0.0
A-1_31,A-1,2021,3,0,0,5,0.0
A-1_31,A-1,2022,2,0,0,3,0.0
A-1_32,A-1,2016,2,0,0,3,0.0
A-1_32,A-1,2017,1,0,0,1,0.0
A-1_32,A-1,2018,3,0,0,4,0.0
A-1_32,A-1,2019,1,0,0,2,0.0
A-1_32,A-1,2021,1,0,0,1,0.0
A-1_32,A-1,2022,1,0,0,1,0.0
A-1_32,A-1,2023,2,0,0,4,0.0
A-1_32,A-1,2024,2,0,0,2,0.0
A-1_33,A-1,2016,2,1,0,3,33.3333
A-1_33,A-1,2017,3,0,0,5,0.0
A-1_33,A-1,2018,1,0,0,3,0.0
A-1_33,A-1,2021,1,0,0,1,0.0
A-1_33,A-1,2022,2,0,0,2,0.0
A-1_33,A-1,2023,1,0,0,1,0.0
A-1_33,A-1,2024,1,0,0,1,0.0
A-1_34,A-1,2016,5,0,0,9,0.0
A-1_34,A-1,2017,5,0,0,12,0.0
A-1_34,A-1,2018,4,0,0,7,0.0
A-1_34,A-1,2019,3,0,0,7,0.0
A-1_34,A-1,2020,2,0,0,2,0.0
A-1_34,A-1,2021,2,0,0,7,0.0
A-1_34,A-1,2022,4,0,0,9,0.0
A-1_34,A-1,2023,3,0,0,7,0.0
A-1_34,A-1,2024,6,0,1,15,6.6667
A-1_35,A-1,2017,1,0,0,1,0.0
A-1_35,A-1,2018,1,0,0,1,0.0
A-1_35,A-1,2021,1,0,0,1,0.0
A-1_35,A-1,2022,1,0,0,1,0.0
A-1_35,A-1,2023,1,0,0,3,0.0
A-1_35,A-1,2024,2,0,0,5,0.0
A-1_36,A-1,2016,2,2,1,5,60.0
A-1_36,A-1,2018,1,0,0,2,0.0
A-1_36,A-1,2019,1,0,0,1,0.0
A-1_36,A-1,2020,1,0,0,1,0.0
A-1_36,A-1,2021,1,0,0,2,0.0
A-1_36,A-1,2022,1,0,0,2,0.0
A-1_36,A-1,2023,1,0,0,1,0.0
A-1_36,A-1,2024,1,0,1,2,50.0
A-1_37,A-1,2016,4,0,0,7,0.0
A-1_37,A-1,2017,3,1,0,6,16.6667
A-1_37,A-1,2018,3,0,0,5,0.0
A-1_37,A-1,2020,1,0,0,4,0.0
A-1_37,A-1,2024,1,0,1,1,100.0
A-1_38,A-1,2016,4,0,0,10,0.0
A-1_38,A-1,2017,3,0,1,4,25.0
A-1_38,A-1,2019,3,0,0,3,0.0
A-1_38,A-1,2020,1,0,0,1,0.0
A-1_38,A-1,2021,2,0,0,4,0.0
A-1_38,A-1,2022,4,0,1,5,20.0
A-1_38,A-1,2023,2,0,0,2,0.0
A-1_38,A-1,2024,5,0,0,11,0.0
A-1_39,A-1,2016,2,0,0,11,0.0
A-1_39,A-1,2017,2,0,0,3,0.0
A-1_39,A-1,2018,1,0,0,4,0.0
A-1_39,A-1,2020,1,0,0,3,0.0
A-1_39,A-1,2021,2,0,0,2,0.0
A-1_39,A-1,2022,1,0,0,1,0.0
A-1_39,A-1,2023,2,0,0,2,0.0
A-1_39,A-1,2024,3,0,2,4,50.0
A-1_40,A-1,2016,1,0,0,1,0.0
A-1_40,A-1,2017,1,0,0,1,0.0
A-1_40,A-1,2018,6,0,0,8,0.0
A-1_40,A-1,2020,1,0,0,1,0.0
A-1_40,A-1,2021,1,0,0,1,0.0
A-1_40,A-1,2022,1,0,0,4,0.0
A-1_40,A-1,2024,1,0,0,1,0.0
A-1_41,A-1,2017,2,0,0,4,0.0
A-1_41,A-1,2019,2,0,2,3,66.6667
A-1_41,A-1,2020,3,0,0,5,0.0
A-1_41,A-1,2021,2,0,0,2,0.0
A-1_41,A-1,2022,1,0,0,1,0.0
A-1_41,A-1,2023,3,0,0,4,0.0
A-1_41,A-1,2024,2,0,0,3,0.0
A-1_42,A-1,2016,1,0,0,1,0.0
A-1_42,A-1,2017,1,0,0,3,0.0
A-1_42,A-1,2018,4,0,0,4,0.0
A-1_42,A-1,2021,1,0,0,4,0.0
A-1_42,A-1,2022,1,0,0,1,0.0
A-1_42,A-1,2024,1,0,0,1,0.0
A-1_43,A-1,2019,1,0,0,1,0.0
A-1_43,A-1,2021,2,0,0,3,0.0
A-1_44,A-1,2019,1,1,0,2,50.0
A-1_44,A-1,2020,1,0,0,1,0.0
A-1_44,A-1,2024,1,0,0,1,0.0
A-1_45,A-1,2016,1,0,0,4,0.0
A-1_45,A-1,2017,1,0,0,1,0.0
A-1_45,A-1,2018,2,0,1,6,16.6667
A-1_45,A-1,2019,1,0,0,3,0.0
A-1_45,A-1,2020,1,0,0,1,0.0
A-1_45,A-1,2021,1,0,0,2,0.0
A-1_45,A-1,2022,2,0,0,3,0.0
A-1_45,A-1,2023,2,0,0,3,0.0
A-1_46,A-1,2018,1,0,0,1,0.0
A-1_46,A-1,2019,1,0,0,2,0.0
A-1_46,A-1,2020,1,0,0,1,0.0
A-1_46,A-1,2022,1,0,0,2,0.0
A-1_46,A-1,2023,3,0,0,5,0.0
A-1_46,A-1,2024,1,1,0,1,100.0
A-1_47,A-1,2016,3,0,0,3,0.0
A-1_47,A-1,2017,4,0,0,8,0.0
A-1_47,A-1,2019,1,0,0,1,0.0
A-1_47,A-1,2020,2,0,0,2,0.0
A-1_47,A-1,2021,1,0,0,2,0.0
A-1_47,A-1,2022,3,0,0,5,0.0
A-1_47,A-1,2023,3,0,0,5,0.0
A-1_47,A-1,2024,3,0,0,7,0.0
A-1_48,A-1,2016,2,0,0,3,0.0
A-1_48,A-1,2017,6,0,0,14,0.0
A-1_48,A-1,2018,3,0,0,4,0.0
A-1_48,A-1,2019,1,0,0,2,0.0
A-1_48,A-1,2020,1,0,0,1,0.0
A-1_48,A-1,2023,5,0,0,6,0.0
A-1_48,A-1,2024,1,0,0,1,0.0
A-1_49,A-1,2018,1,0,0,1,0.0
A-1_49,A-1,2019,1,0,0,2,0.0
A-1_49,A-1,2020,3,0,1,3,33.3333
A-1_49,A-1,2023,1,0,0,1,0.0
A-1_50,A-1,2017,1,0,0,2,0.0
A-1_50,A-1,2018,1,0,0,5,0.0
A-1_50,A-1,2019,1,0,0,4,0.0
A-1_50,A-1,2020,1,0,1,2,50.0
A-1_50,A-1,2021,2,0,0,3,0.0
A-1_50,A-1,2022,1,0,0,3,0.0
A-1_50,A-1,2023,1,0,0,2,0.0
A-1_50,A-1,2024,1,0,0,2,0.0
A-1_51,A-1,2016,1,0,0,1,0.0
A-1_51,A-1,2017,1,0,0,1,0.0
A-1_51,A-1,2020,1,0,0,4,0.0
A-1_51,A-1,2021,1,0,0,3,0.0
A-1_51,A-1,2022,1,0,0,1,0.0
A-1_51,A-1,2023,2,0,0,3,0.0
A-1_51,A-1,2024,1,0,0,2,0.0
A-1_52,A-1,2017,2,0,0,3,0.0
A-1_52,A-1,2018,2,0,0,3,0.0
A-1_52,A-1,2019,2,0,0,3,0.0
A-1_52,A-1,2021,1,0,0,1,0.0
A-1_52,A-1,2024,1,0,0,1,0.0
A-1_53,A-1,2016,1,0,0,1,0.0
A-1_53,A-1,2019,2,0,0,5,0.0
A-1_53,A-1,2021,1,0,0,7,0.0
A-1_53,A-1,2022,1,0,0,1,0.0
A-1_53,A-1,2023,1,0,0,1,0.0
A-1_53,A-1,2024,2,0,0,6,0.0
A-1_54,A-1,2016,1,0,0,2,0.0
A-1_54,A-1,2017,1,0,0,2,0.0
A-1_54,A-1,2018,3,0,0,8,0.0
A-1_54,A-1,2019,1,0,0,1,0.0
A-1_54,A-1,2024,1,0,0,1,0.0
A-1_55,A-1,2017,2,0,0,4,0.0
A-1_55,A-1,2020,1,0,0,2,0.0
A-1_55,A-1,2023,1,0,0,1,0.0
A-1_56,A-1,2017,2,0,0,10,0.0
A-1_56,A-1,2018,2,0,0,5,0.0
A-1_56,A-1,2019,2,0,0,3,0.0
A-1_56,A-1,2022,1,0,0,2,0.0
A-1_57,A-1,2016,1,0,0,1,0.0
A-1_57,A-1,2017,1,0,0,1,0.0
A-1_57,A-1,2023,1,2,0,2,100.0
A-1_57,A-1,2024,1,0,0,3,0.0
A-1_59,A-1,2018,1,0,0,2,0.0
A-1_60,A-1,2016,1,0,0,1,0.0
A-1_60,A-1,2019,1,0,0,1,0.0
A-1_60,A-1,2022,1,0,0,2,0.0
A-1_60,A-1,2023,2,0,0,2,0.0
A-1_61,A-1,2016,1,0,0,10,0.0
A-1_61,A-1,2019,1,1,0,4,25.0
A-1_61,A-1,2020,1,1,0,1,100.0
A-1_62,A-1,2017,1,0,0,1,0.0
A-1_62,A-1,2020,1,0,1,1,100.0
A-1_62,A-1,2021,1,0,0,1,0.0
A-1_62,A-1,2022,2,0,0,3,0.0
A-1_63,A-1,2016,4,0,1,11,9.0909
A-1_63,A-1,2017,1,0,0,1,0.0
A-1_63,A-1,2018,1,0,0,2,0.0
A-1_64,A-1,2016,1,0,0,4,0.0
A-1_65,A-1,2016,2,0,0,2,0.0
A-1_65,A-1,2017,1,0,0,2,0.0
A-1_65,A-1,2018,3,0,1,8,12.5
A-1_65,A-1,2019,1,0,0,2,0.0
A-1_65,A-1,2020,1,0,0,1,0.0
A-1_65,A-1,2021,2,0,0,3,0.0
A-1_65,A-1,2023,1,0,0,1,0.0
A-1_66,A-1,2016,2,0,0,2,0.0
A-1_66,A-1,2022,1,0,0,1,0.0
A-1_66,A-1,2024,1,0,1,1,100.0
A-1_67,A-1,2018,1,0,0,2,0.0
A-1_67,A-1,2019,2,0,0,3,0.0
A-1_67,A-1,2024,1,0,0,2,0.0
A-1_68,A-1,2017,2,0,0,2,0.0
A-1_68,A-1,2018,1,0,0,4,0.0
A-1_68,A-1,2019,1,0,0,1,0.0
A-1_68,A-1,2022,2,0,0,2,0.0
A-1_69,A-1,2016,1,0,0,1,0.0
A-1_69,A-1,2017,4,0,0,6,0.0
A-1_69,A-1,2019,1,0,0,2,0.0
A-1_69,A-1,2020,2,0,0,5,0.0
A-1_69,A-1,2021,1,0,0,5,0.0
A-1_69,A-1,2022,1,0,0,1,0.0
A-1_69,A-1,2023,2,0,0,4,0.0
A-1_69,A-1,2024,1,0,0,2,0.0
A-1_71,A-1,2018,3,0,1,3,33.3333
A-1_71,A-1,2019,3,1,0,8,12.5
A-1_71,A-1,2021,1,0,0,1,0.0
A-1_71,A-1,2023,1,0,0,2,0.0
A-1_72,A-1,2018,1,0,0,1,0.0
A-1_73,A-1,2019,1,0,0,1,0.0
A-1_73,A-1,2020,1,0,0,1,0.0
A-1_73,A-1,2024,1,0,0,3,0.0
A-1_74,A-1,2017,1,0,0,1,0.0
A-1_74,A-1,2018,1,0,0,1,0.0
A-1_74,A-1,2019,1,0,0,1,0.0
A-1_74,A-1,2020,1,0,0,1,0.0
A-1_74,A-1,2021,3,0,0,3,0.0
A-1_74,A-1,2022,1,0,0,1,0.0
A-1_75,A-1,2018,1,0,0,1,0.0
A-1_75,A-1,2019,1,0,0,5,0.0
A-1_76,A-1,2023,1,0,0,2,0.0
A-1_76,A-1,2024,1,0,0,2,0.0
A-1_77,A-1,2016,1,0,0,1,0.0
A-1_77,A-1,2019,1,0,0,1,0.0
A-1_77,A-1,2024,2,0,0,3,0.0
A-1_78,A-1,2016,1,0,0,1,0.0
A-1_79,A-1,2018,1,0,0,2,0.0
A-1_79,A-1,2019,1,0,0,1,0.0
A-1_80,A-1,2021,1,0,0,4,0.0
A-1_80,A-1,2023,1,0,0,1,0.0
A-1_81,A-1,2021,1,0,0,1,0.0
A-1_81,A-1,2022,1,0,0,1,0.0
A-1_81,A-1,2024,1,0,0,2,0.0
A-1_82,A-1,2017,1,0,0,3,0.0
A-1_82,A-1,2021,2,1,1,4,50.0
A-1_82,A-1,2023,1,0,0,2,0.0
A-1_83,A-1,2021,1,0,0,1,0.0
A-1_84,A-1,2016,1,0,0,2,0.0
A-1_85,A-1,2021,3,0,0,3,0.0
A-1_85,A-1,2022,1,0,0,2,0.0
A-1_86,A-1,2016,1,0,0,2,0.0
A-1_86,A-1,2017,1,0,0,1,0.0
A-1_86,A-1,2023,1,0,0,1,0.0
A-1_86,A-1,2024,1,0,0,2,0.0
A-1_87,A-1,2024,3,0,1,3,33.3333
A-1_88,A-1,2018,1,0,0,1,0.0
A-1_89,A-1,2016,1,0,0,2,0.0
A-1_89,A-1,2018,2,0,0,2,0.0
A-1_89,A-1,2023,1,0,0,1,0.0
A-1_9,A-1,2016,6,0,1,16,6.25
A-1_9,A-1,2018,4,0,0,6,0.0
A-1_9,A-1,2019,4,0,0,4,0.0
A-1_9,A-1,2020,1,0,0,1,0.0
A-1_9,A-1,2021,3,0,0,3,0.0
A-1_9,A-1,2023,1,0,0,1,0.0
A-1_9,A-1,2024,2,0,0,2,0.0
A-1_90,A-1,2016,1,0,0,1,0.0
A-1_90,A-1,2017,1,0,0,2,0.0
A-1_90,A-1,2018,1,0,0,2,0.0
A-1_90,A-1,2022,1,0,0,1,0.0
A-1_90,A-1,2024,1,0,0,2,0.0
A-1_91,A-1,2017,1,0,0,3,0.0
A-1_91,A-1,2023,1,0,0,1,0.0
A-1_92,A-1,2016,1,0,0,1,0.0
A-1_92,A-1,2017,1,0,0,1,0.0
A-1_92,A-1,2020,1,0,1,1,100.0
A-1_92,A-1,2021,1,1,0,2,50.0
A-1_92,A-1,2022,1,0,0,2,0.0
A-1_92,A-1,2023,1,0,2,2,100.0
A-1_92,A-1,2024,1,1,0,1,100.0
A-1_93,A-1,2018,2,0,0,2,0.0
A-1_93,A-1,2019,1,0,2,8,25.0
A-1_93,A-1,2023,1,0,0,2,0.0
A-1_94,A-1,2016,1,0,0,3,0.0
A-1_94,A-1,2019,1,0,0,1,0.0
A-1_94,A-1,2022,1,0,0,1,0.0
A-1_94,A-1,2024,1,0,0,2,0.0
A-1_95,A-1,2023,1,0,0,1,0.0
A-1_95,A-1,2024,1,0,1,3,33.3333
A-2 C.S_38,A-2 C.S,2019,1,0,0,2,0.0
A-2 CAMBIO_28,A-2 CAMBIO,2019,1,0,0,1,0.0
A-2 CS_33,A-2 CS,2019,1,0,0,1,0.0
A-2 V.S_16,A-2 V.S,2019,1,0,0,3,0.0
A-2 VS_30,A-2 VS,2019,1,0,0,2,0.0
"A-2, V.S._14","A-2, V.S.",2019,1,0,0,3,0.0
A-2_10,A-2,2016,7,0,0,9,0.0
A-2_10,A-2,2017,9,0,2,11,18.1818
A-2_10,A-2,2018,3,0,1,5,20.0
A-2_10,A-2,2019,2,0,1,2,50.0
A-2_10,A-2,2020,4,0,1,8,12.5
A-2_10,A-2,2021,2,0,0,2,0.0
A-2_10,A-2,2022,7,0,0,12,0.0
A-2_10,A-2,2023,9,0,0,12,0.0
A-2_10,A-2,2024,5,1,0,7,14.2857
A-2_11,A-2,2016,2,1,0,3,33.3333
A-2_11,A-2,2017,4,0,1,4,25.0
A-2_11,A-2,2018,3,0,1,5,20.0
A-2_11,A-2,2019,4,0,0,5,0.0
A-2_11,A-2,2020,7,0,1,10,10.0
A-2_11,A-2,2021,3,0,0,7,0.0
A-2_11,A-2,2022,11,1,0,15,6.6667
A-2_11,A-2,2023,2,0,0,3,0.0
A-2_11,A-2,2024,1,0,0,1,0.0
A-2_12,A-2,2016,8,0,2,9,22.2222
A-2_12,A-2,2017,19,0,0,33,0.0
A-2_12,A-2,2018,13,0,4,17,23.5294
A-2_12,A-2,2019,3,0,0,3,0.0
A-2_12,A-2,2020,1,0,0,1,0.0
A-2_12,A-2,2021,7,0,1,19,5.2632
A-2_12,A-2,2022,8,0,0,16,0.0
A-2_12,A-2,2023,5,0,1,8,12.5
A-2_12,A-2,2024,9,0,1,16,6.25
A-2_13,A-2,2016,5,2,3,11,45.4545
A-2_13,A-2,2017,6,0,0,6,0.0
A-2_13,A-2,2018,4,0,0,4,0.0
A-2_13,A-2,2019,3,0,0,5,0.0
A-2_13,A-2,2020,1,0,0,1,0.0
A-2_13,A-2,2021,2,0,0,4,0.0
A-2_13,A-2,2024,1,0,0,1,0.0
A-2_14,A-2,2016,1,0,0,1,0.0
A-2_14,A-2,2017,3,0,1,3,33.3333
A-2_14,A-2,2018,1,0,0,2,0.0
A-2_14,A-2,2019,2,0,0,2,0.0
A-2_14,A-2,2020,4,0,0,5,0.0
A-2_14,A-2,2021,4,0,0,6,0.0
A-2_14,A-2,2022,4,0,0,5,0.0
A-2_14,A-2,2023,3,0,0,3,0.0
A-2_14,A-2,2024,2,0,0,8,0.0
A-2_15,A-2,2016,13,0,1,27,3.7037
A-2_15,A-2,2017,4,0,0,6,0.0
A-2_15,A-2,2018,5,1,0,7,14.2857
A-2_15,A-2,2019,4,0,0,4,0.0
A-2_15,A-2,2020,2,0,0,2,0.0
A-2_15,A-2,2021,3,0,0,4,0.0
A-2_15,A-2,2022,5,0,0,8,0.0
A-2_15,A-2,2023,4,0,0,5,0.0
A-2_15,A-2,2024,7,0,1,7,14.2857
A-2_16,A-2,2016,2,0,0,3,0.0
A-2_16,A-2,2017,4,0,0,8,0.0
A-2_16,A-2,2018,4,0,0,4,0.0
A-2_16,A-2,2019,5,0,0,7,0.0
A-2_16,A-2,2020,1,0,0,1,0.0
A-2_16,A-2,2021,5,0,0,8,0.0
A-2_16,A-2,2022,2,0,0,2,0.0
A-2_16,A-2,2023,8,0,0,15,0.0
A-2_17,A-2,2016,12,0,0,16,0.0
A-2_17,A-2,2017,3,0,0,5,0.0
A-2_17,A-2,2018,9,0,1,12,8.3333
A-2_17,A-2,2019,7,0,0,8,0.0
A-2_17,A-2,2020,3,0,0,5,0.0
A-2_17,A-2,2021,6,0,0,9,0.0
A-2_17,A-2,2022,3,0,0,5,0.0
A-2_17,A-2,2023,7,0,0,11,0.0
A-2_17,A-2,2024,3,0,0,7,0.0
A-2_18,A-2,2016,8,0,1,10,10.0
A-2_18,A-2,2017,9,0,2,10,20.0
A-2_18,A-2,2018,12,0,0,18,0.0
