CARRETERA,YEAR,n_accidents,n_fatal_30d,n_serious_30d,yoy_delta_abs,yoy_delta_pct,is_covid_year
M-405,2021,7,0,1,-2.0,-22.22,True
M-405,2022,8,0,0,1.0,14.29,False
M-405,2023,8,0,1,0.0,0.0,False
M-405,2024,12,0,2,4.0,50.0,False
M-406,2016,22,0,1,,,False
M-406,2017,23,0,1,1.0,4.55,False
M-406,2018,32,0,2,9.0,39.13,False
M-406,2019,28,0,1,-4.0,-12.5,False
M-406,2020,18,0,0,-10.0,-35.71,True
M-406,2021,25,0,4,7.0,38.89,True
M-406,2022,25,0,1,0.0,0.0,False
M-406,2023,22,0,0,-3.0,-12.0,False
M-406,2024,18,3,2,-4.0,-18.18,False
M-407,2016,23,0,1,,,False
M-407,2017,25,2,1,2.0,8.7,False
M-407,2018,22,0,2,-3.0,-12.0,False
M-407,2019,34,1,1,12.0,54.55,False
M-407,2020,15,0,1,-19.0,-55.88,True
M-407,2021,20,0,0,5.0,33.33,True
M-407,2022,20,1,2,0.0,0.0,False
M-407,2023,10,1,0,-10.0,-50.0,False
M-407,2024,21,0,0,11.0,110.0,False
M-408,2016,10,0,0,,,False
M-408,2017,22,0,0,12.0,120.0,False
M-408,2018,16,0,0,-6.0,-27.27,False
M-408,2019,15,2,0,-1.0,-6.25,False
M-408,2020,5,0,0,-10.0,-66.67,True
M-408,2021,12,0,0,7.0,140.0,True
M-408,2022,17,0,3,5.0,41.67,False
M-408,2023,11,0,1,-6.0,-35.29,False
M-408,2024,12,0,0,1.0,9.09,False
M-409,2016,8,0,1,,,False
M-409,2017,13,0,0,5.0,62.5,False
M-409,2018,7,0,0,-6.0,-46.15,False
M-409,2019,9,0,0,2.0,28.57,False
M-409,2020,1,0,0,-8.0,-88.89,True
M-409,2021,4,0,1,3.0,300.0,True
M-409,2022,6,0,1,2.0,50.0,False
M-409,2023,6,1,1,0.0,0.0,False
M-409,2024,11,0,0,5.0,83.33,False
M-410,2016,6,2,0,,,False
M-410,2017,3,2,0,-3.0,-50.0,False
M-410,2018,6,0,0,3.0,100.0,False
M-410,2019,6,0,0,0.0,0.0,False
M-410,2020,7,0,2,1.0,16.67,True
M-410,2021,3,0,0,-4.0,-57.14,True
M-410,2022,4,0,0,1.0,33.33,False
