CARRETERA,TIPO_ACCIDENTE_LABEL,YEAR,n_accidents,n_total_road_year,rel_freq_pct
A-1,Salida de la vía por la izquierda con vuelco,2017,4,205,1.9512
A-1,Salida de la vía por la izquierda con vuelco,2018,7,191,3.6649
A-1,Salida de la vía por la izquierda con vuelco,2019,3,169,1.7751
A-1,Salida de la vía por la izquierda con vuelco,2020,4,87,4.5977
A-1,Salida de la vía por la izquierda con vuelco,2021,4,131,3.0534
A-1,Salida de la vía por la izquierda con vuelco,2022,1,123,0.813
A-1,Salida de la vía por la izquierda con vuelco,2023,3,131,2.2901
A-1,Salida de la vía por la izquierda con vuelco,2024,1,120,0.8333
A-1,"Salida de la vía por la izquierda, otro tipo",2016,5,184,2.7174
A-1,"Salida de la vía por la izquierda, otro tipo",2017,4,205,1.9512
A-1,"Salida de la vía por la izquierda, otro tipo",2018,6,191,3.1414
A-1,"Salida de la vía por la izquierda, otro tipo",2019,6,169,3.5503
A-1,"Salida de la vía por la izquierda, otro tipo",2020,2,87,2.2989
A-1,"Salida de la vía por la izquierda, otro tipo",2021,3,131,2.2901
A-1,"Salida de la vía por la izquierda, otro tipo",2022,3,123,2.439
A-1,"Salida de la vía por la izquierda, otro tipo",2023,6,131,4.5802
A-1,"Salida de la vía por la izquierda, otro tipo",2024,6,120,5.0
A-1,Vuelco,2016,1,184,0.5435
A-1,Vuelco,2019,1,169,0.5917
A-1,Vuelco,2020,1,87,1.1494
A-1,Vuelco,2024,1,120,0.8333
A-1 CAMBIO,Colisión por alcance,2019,1,2,50.0
A-1 CAMBIO,Salida de la vía por la izquierda con colisión,2019,1,2,50.0
A-1 SALIDA,Salida de la vía por la derecha otro tipo,2019,1,1,100.0
A-1A,Atropello a personas,2021,1,3,33.3333
A-1A,Atropello a personas,2022,1,2,50.0
A-1A,Atropello a personas,2023,1,1,100.0
A-1A,Atropello a personas,2024,1,2,50.0
A-1A,Caída,2019,1,1,100.0
A-1A,Colisión fronto-lateral,2016,1,2,50.0
A-1A,Colisión fronto-lateral,2017,1,1,100.0
A-1A,Colisión por alcance,2018,1,3,33.3333
